  0.00000000E+00  0.00000000E+00 -0.15000000E+02  0.40000000E+03  0.29445795E+01  0.18125918E-04  0.13565942E-07  0.98999999E+02  0.20000000E+03  0.32326313E-01  0.13527998E+00  0.18098371E+01  0.10000000E-03  0.26713712E+01  0.39110122E+01  0.16617402E+01
  0.10000000E+01  0.24999999E-03 -0.15000002E+02  0.39999999E+03  0.29445794E+01  0.18126142E-04  0.56124406E-07  0.99000014E+02  0.20000000E+03  0.32326312E-01  0.13528036E+00  0.18098386E+01  0.99999998E-04  0.42876266E+01  0.77864968E+01  0.17334263E+01
  0.20000000E+01  0.74999991E-03 -0.15000007E+02  0.39999996E+03  0.29445793E+01  0.18126511E-04  0.13186723E-06  0.99000043E+02  0.19999999E+03  0.32326310E-01  0.13528117E+00  0.18098445E+01  0.99999993E-04  0.56988970E+01  0.11754393E+02  0.17861204E+01
  0.30000000E+01  0.14999996E-02 -0.15000014E+02  0.39999992E+03  0.29445792E+01  0.18127055E-04  0.24077235E-06  0.99000087E+02  0.19999997E+03  0.32326308E-01  0.13528240E+00  0.18098554E+01  0.99999986E-04  0.69645203E+01  0.15702057E+02  0.18268348E+01
  0.40000000E+01  0.24999990E-02 -0.15000023E+02  0.39999987E+03  0.29445791E+01  0.18127813E-04  0.38229127E-06  0.99000145E+02  0.19999995E+03  0.32326305E-01  0.13528405E+00  0.18098727E+01  0.99999976E-04  0.81242497E+01  0.19606376E+02  0.18599183E+01
  0.50000000E+01  0.37499977E-02 -0.15000035E+02  0.39999980E+03  0.29445789E+01  0.18128787E-04  0.55584776E-06  0.99000219E+02  0.19999993E+03  0.32326301E-01  0.13528613E+00  0.18098970E+01  0.99999964E-04  0.92033696E+01  0.23464554E+02  0.18877945E+01
  0.60000000E+01  0.52499954E-02 -0.15000049E+02  0.39999972E+03  0.29445787E+01  0.18129976E-04  0.76093173E-06  0.99000307E+02  0.19999990E+03  0.32326296E-01  0.13528864E+00  0.18099289E+01  0.99999950E-04  0.10218740E+02  0.27279216E+02  0.19119081E+01
  0.70000000E+01  0.69999918E-02 -0.15000066E+02  0.39999963E+03  0.29445785E+01  0.18131381E-04  0.99711679E-06  0.99000410E+02  0.19999987E+03  0.32326291E-01  0.13529158E+00  0.18099685E+01  0.99999933E-04  0.11181643E+02  0.31052236E+02  0.19331692E+01
  0.80000000E+01  0.89999865E-02 -0.15000084E+02  0.39999952E+03  0.29445782E+01  0.18133004E-04  0.12638966E-05  0.99000528E+02  0.19999983E+03  0.32326285E-01  0.13529494E+00  0.18100160E+01  0.99999914E-04  0.12100886E+02  0.34788238E+02  0.19522046E+01
  0.90000000E+01  0.11249979E-01 -0.15000105E+02  0.39999941E+03  0.29445779E+01  0.18134845E-04  0.15609812E-05  0.99000662E+02  0.19999978E+03  0.32326278E-01  0.13529873E+00  0.18100717E+01  0.99999892E-04  0.12982961E+02  0.38490824E+02  0.19694526E+01
  0.10000000E+02  0.13749968E-01 -0.15000129E+02  0.39999927E+03  0.29445776E+01  0.18136909E-04  0.18880897E-05  0.99000810E+02  0.19999974E+03  0.32326270E-01  0.13530295E+00  0.18101356E+01  0.99999868E-04  0.13832644E+02  0.42162067E+02  0.19852286E+01
  0.11000000E+02  0.16499955E-01 -0.15000155E+02  0.39999913E+03  0.29445772E+01  0.18139193E-04  0.22448682E-05  0.99000973E+02  0.19999968E+03  0.32326262E-01  0.13530761E+00  0.18102077E+01  0.99999842E-04  0.14653921E+02  0.45804661E+02  0.19997739E+01
  0.12000000E+02  0.19499937E-01 -0.15000183E+02  0.39999897E+03  0.29445768E+01  0.18141695E-04  0.26310689E-05  0.99001151E+02  0.19999963E+03  0.32326252E-01  0.13531269E+00  0.18102883E+01  0.99999813E-04  0.15449981E+02  0.49420808E+02  0.20132741E+01
  0.13000000E+02  0.22749914E-01 -0.15000214E+02  0.39999880E+03  0.29445764E+01  0.18144419E-04  0.30464523E-05  0.99001344E+02  0.19999956E+03  0.32326242E-01  0.13531821E+00  0.18103772E+01  0.99999782E-04  0.16223454E+02  0.53012462E+02  0.20258754E+01
  0.14000000E+02  0.26249885E-01 -0.15000247E+02  0.39999861E+03  0.29445760E+01  0.18147364E-04  0.34908013E-05  0.99001552E+02  0.19999950E+03  0.32326231E-01  0.13532415E+00  0.18104747E+01  0.99999749E-04  0.16976527E+02  0.56581313E+02  0.20376951E+01
  0.15000000E+02  0.29999850E-01 -0.15000282E+02  0.39999841E+03  0.29445755E+01  0.18150532E-04  0.39639121E-05  0.99001775E+02  0.19999943E+03  0.32326220E-01  0.13533054E+00  0.18105806E+01  0.99999713E-04  0.17711059E+02  0.60128911E+02  0.20488287E+01
  0.16000000E+02  0.33999807E-01 -0.15000319E+02  0.39999820E+03  0.29445750E+01  0.18153944E-04  0.44656036E-05  0.99002013E+02  0.19999935E+03  0.32326207E-01  0.13533735E+00  0.18106950E+01  0.99999674E-04  0.18428635E+02  0.63656606E+02  0.20593552E+01
  0.17000000E+02  0.38249756E-01 -0.15000359E+02  0.39999798E+03  0.29445745E+01  0.18157561E-04  0.49957042E-05  0.99002266E+02  0.19999927E+03  0.32326194E-01  0.13534460E+00  0.18108180E+01  0.99999634E-04  0.19130616E+02  0.67165588E+02  0.20693404E+01
  0.18000000E+02  0.42749695E-01 -0.15000402E+02  0.39999774E+03  0.29445739E+01  0.18161402E-04  0.55540516E-05  0.99002534E+02  0.19999918E+03  0.32326180E-01  0.13535229E+00  0.18109496E+01  0.99999591E-04  0.19818187E+02  0.70656928E+02  0.20788397E+01
